# netlist of hardware/synthseqr_v3.kicad_pcb
# sha256:034a75fff1ca493f  generated 2026-09-02T20:02:22Z
# 202 components, 117 nets

## components

A: 1
  A1       Adafruit Feather M4 Express     89.35     25.11  PCM_synthseqr:Adafruit_Feather_SMDheader
/BTN14  (3)
    RN2.8 SW15.1 U2.17
/BTN15  (3)
    RN2.9 SW16.1 U2.16
/BTN16  (3)
    RN4.2 SW17.1 U3.9
/BTN17  (3)
    RN4.3 SW18.1 U3.8
/BTN18  (3)
    RN4.4 SW19.1 U3.7
/BTN19  (3)
    RN4.5 SW20.1 U3.6
/BTN2  (3)
    RN1.4 SW3.1 U2.7
/BTN20  (3)
    RN4.6 SW21.1 U3.5
/BTN21  (3)
    RN4.7 SW22.1 U3.4
/BTN22  (3)
    RN4.8 SW23.1 U3.3
/BTN23  (3)
    RN4.9 SW24.1 U3.2
/BTN24  (3)
    RN3.2 SW25.1 U3.23
/BTN25  (3)
    RN3.3 SW26.1 U3.22
/BTN26  (3)
    RN3.4 SW27.1 U3.21
/BTN27  (3)
    RN3.5 SW28.1 U3.20
/BTN28  (3)
    RN3.6 SW29.1 U3.19
/BTN29  (3)
    RN3.7 SW30.1 U3.18
/BTN3  (3)
    RN1.5 SW4.1 U2.6
/BTN30  (3)
    RN3.8 SW31.1 U3.17
/BTN31  (3)
    RN3.9 SW32.1 U3.16
/BTN4  (3)
    RN1.6 SW5.1 U2.5
/BTN5  (3)
    RN1.7 SW6.1 U2.4
/BTN6  (3)
    RN1.8 SW7.1 U2.3
/BTN7  (3)
    RN1.9 SW8.1 U2.2
/BTN8  (3)
    RN2.2 SW9.1 U2.23
/BTN9  (3)
    RN2.3 SW10.1 U2.22
/CYD_RX  (3)
    A1.22 J5.2 cydRX1.1
/CYD_TX  (3)
    A1.23 J5.3 cydTX1.1
/DIN_IN4  (2)
    J6.4 R1.1
/DIN_OUT4  (2)
    J7.4 R3.2
/DIN_OUT5  (2)
    J7.5 R4.2
/ENC_A  (2)
    A1.7 ENC1.A1
/ENC_B  (2)
    A1.8 ENC1.B1
/ENC_SW  (2)
    A1.9 ENC1.D1
/LED_5V  (76)
